CASE_ID,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_AGE,VICTIM_SEX,severity_1_4
5916579,1,2,18,M,1
5916579,1,2,19,F,1
5916579,1,2,48,F,1
5916587,1,1,19,M,2
5916599,1,4,67,M,1
5916628,1,1,90,M,1
5916636,1,1,40,M,1
5916636,1,1,63,F,1
5916636,2,2,39,M,1
5916680,1,1,37,F,1
5916680,1,2,49,M,1
5916684,1,2,20,M,1
5916684,1,1,36,M,1
5916685,1,2,24,F,1
5916685,2,2,8,M,1
5916685,3,2,11,M,1
5916685,4,2,37,F,1
5916689,1,1,40,M,1
5916693,1,1,22,M,1
5916696,1,1,35,F,2
5916696,2,2,11,F,1
5916712,1,1,22,M,3
5916767,1,1,52,M,2
5916771,1,2,24,M,1
5916771,1,1,23,M,1
5916771,2,2,20,M,1
5916771,2,2,20,F,1
5916991,1,2,63,F,1
5916991,2,2,4,F,1
5917202,1,1,63,F,1
5917203,1,1,39,M,2
5917211,1,2,31,M,1
5917226,1,1,48,F,1
5917261,1,1,44,F,2
5917261,1,2,83,F,1
5917261,2,2,20,F,1
5917265,1,2,31,F,1
5917265,1,1,21,F,1
5917277,1,1,22,M,2
5917277,2,2,998,-,2
5917278,1,1,30,M,3
5918671,1,1,31,F,1
5918679,1,3,29,M,2
5918683,1,1,33,F,2
5918683,1,1,20,M,1
5918708,1,1,37,M,2
5918708,1,1,22,F,2
5918899,1,2,1,F,1
5918899,1,1,21,F,1
5918899,2,2,2,F,1
5918899,3,2,0,M,1
5918899,4,2,31,F,1
5918920,1,2,14,M,1
5918920,1,1,54,F,1
5918923,1,1,57,M,1
5918923,2,2,56,F,1
5918931,1,1,20,F,1
5918932,1,2,38,F,1
5918959,1,4,43,F,1
5920338,1,2,10,F,1
5920338,1,2,10,M,1
5920338,2,2,5,F,1
5920342,1,1,65,M,1
5920342,2,2,3,M,1
5920342,3,2,38,F,1
5920342,4,2,2,F,1
5920643,1,2,18,M,1
5920643,1,1,59,F,1
5920643,2,1,19,-,1
5920643,2,2,13,M,1
5920730,1,2,17,F,1
5920730,2,2,17,M,1
5920730,3,2,55,F,1
5920734,1,1,27,F,1
5920734,2,2,35,F,1
5920750,1,1,77,M,1
5920750,1,1,42,M,1
5920750,1,2,32,F,1
5920758,1,1,30,F,1
5920758,1,1,51,M,1
5920778,1,1,42,F,1
5920778,2,2,19,F,1
5920778,3,2,25,M,1
5920778,4,2,16,F,1
5920913,1,1,19,M,1
5920913,1,1,49,F,1
5923130,1,2,64,F,1
5923154,1,1,61,M,2
5923154,1,1,42,F,1
5923158,1,1,43,F,1
5923165,1,1,38,M,1
5923165,2,2,37,F,1
5923165,3,2,13,F,1
5923165,4,2,13,F,1
5923185,1,1,22,F,2
5923193,1,2,10,M,1
5923193,1,2,44,M,1
5923193,2,2,1,M,1
5923934,1,1,43,M,2
5923939,1,1,64,M,2
5923939,1,1,62,F,1
5923970,1,1,46,F,3
5923970,1,1,42,M,1
5923982,1,2,20,M,1
5923982,1,2,5,F,1
5923982,1,2,22,M,1
5923982,2,2,8,F,1
5923982,3,2,20,F,1
5924003,1,2,5,M,2
5924056,1,2,22,M,1
5924056,2,1,19,F,1
5924056,3,2,0,M,1
5924066,1,1,35,M,1
5924076,1,1,17,M,2
5924124,1,2,33,F,1
5924136,1,1,52,M,1
5924136,2,2,51,F,2
5924136,3,2,56,F,1
5924170,1,1,59,M,1
5924949,1,1,32,M,1
5924950,1,1,35,M,2
5924950,1,1,34,M,1
5925955,1,1,49,M,1
5925955,1,1,44,F,1
5925955,2,2,8,F,1
5925963,1,1,26,M,2
5925963,1,1,67,F,1
5925963,2,2,71,F,1
5925963,3,2,56,F,1
5926082,1,1,26,M,1
5926082,2,2,28,M,2
5926082,3,2,25,M,1
5926090,1,1,18,M,3
5926102,1,2,12,F,1
